,Country,Code,Year,annual_co2_tonnes,gdp_2016
156,Tonga,TON,2016,133460.2,6092.258366
157,Trinidad and Tobago,TTO,2016,41023617.99,31754.46967
158,Tunisia,TUN,2016,26907690.22,11743.4899
159,Turkey,TUR,2016,402820783.8,26150.3998
160,Turkmenistan,TKM,2016,76563298.02,16895.476130000003
161,Turks and Caicos Islands,TCA,2016,218360.14,22809.206140000002
162,Tuvalu,TUV,2016,12132.75,3727.711339
163,Uganda,UGA,2016,5571393.24,1908.300268
164,Ukraine,UKR,2016,235156014.4,8289.707288
165,United Arab Emirates,ARE,2016,233426543.8,72386.09047000001
166,United Kingdom,GBR,2016,398550884.1,43543.587830000004
167,United States,USA,2016,5310861406.0,57904.201960000006
168,Uruguay,URY,2016,6764424.63,21820.259009999998
169,Uzbekistan,UZB,2016,97925267.72,7723.937506
170,Vanuatu,VUT,2016,169858.44,3011.8535890000003
171,Vietnam,VNM,2016,197801557.3,6365.289485
172,Zambia,ZMB,2016,4575144.24,3998.0044350000003
173,Zimbabwe,ZWE,2016,9932649.88,2687.385429
